(0.27778, 0.62181, 0.11111),
(0.72222, 0.37819, 0.11111),
(0.27778, 0.37819, 0.22222),
(0.72222, 0.62181, 0.22222),
(0.72222, 0.37819, 0.77778),
(0.27778, 0.62181, 0.77778),
(0.72222, 0.62181, 0.77778),
(0.27778, 0.37819, 0.77778),
(0.27778, 0.62181, 0.22222),
(0.72222, 0.37819, 0.22222),
(0.27778, 0.37819, 0.33333),
(0.72222, 0.62181, 0.33333),
(0.72222, 0.37819, 0.66667),
(0.27778, 0.62181, 0.66667),
(0.72222, 0.62181, 0.66667),
(0.27778, 0.37819, 0.66667),
(0.27778, 0.62181, 0.33333),
(0.72222, 0.37819, 0.33333),
(0.27778, 0.37819, 0.44444),
(0.72222, 0.62181, 0.44444),
(0.72222, 0.37819, 0.55556),
(0.27778, 0.62181, 0.55556),
(0.72222, 0.62181, 0.55556),
(0.27778, 0.37819, 0.55556),
(0.27778, 0.62181, 0.44444),
(0.72222, 0.37819, 0.44444),
(0.38889, 0.37819, 0.0),
(0.61111, 0.62181, 0.0),
(0.61111, 0.37819, 0.0),
(0.38889, 0.62181, 0.0),
(0.38889, 0.37819, 0.11111),
(0.61111, 0.62181, 0.11111),
(0.61111, 0.37819, 0.88889),
(0.38889, 0.62181, 0.88889),
(0.61111, 0.62181, 0.88889),
(0.38889, 0.37819, 0.88889),
(0.38889, 0.62181, 0.11111),
(0.61111, 0.37819, 0.11111),
(0.38889, 0.37819, 0.22222),
(0.61111, 0.62181, 0.22222),
(0.61111, 0.37819, 0.77778),
(0.38889, 0.62181, 0.77778),
(0.61111, 0.62181, 0.77778),
(0.38889, 0.37819, 0.77778),
(0.38889, 0.62181, 0.22222),
(0.61111, 0.37819, 0.22222),
(0.38889, 0.37819, 0.33333),
(0.61111, 0.62181, 0.33333),
(0.61111, 0.37819, 0.66667),
(0.38889, 0.62181, 0.66667),
(0.61111, 0.62181, 0.66667),
(0.38889, 0.37819, 0.66667),
(0.38889, 0.62181, 0.33333),
(0.61111, 0.37819, 0.33333),
(0.38889, 0.37819, 0.44444),
(0.61111, 0.62181, 0.44444),
(0.61111, 0.37819, 0.55556),
(0.38889, 0.62181, 0.55556),
(0.61111, 0.62181, 0.55556),
(0.38889, 0.37819, 0.55556),
