h,k,l,intensity_exp,intensity_exp_err,intensity_sim
3.55555555555556,3.55555555555556,0.0,0.0604220428474193,0.0,0.0011596591
3.66666666666667,0.0,0.0,0.41793427440421,0.0,0.43103766
3.66666666666667,1.0,0.0,0.282320620350408,0.0,0.19180593
3.77777777777778,0.222222222222222,0.0,0.0243075502132267,0.0,0.018955704
3.88888888888889,3.88888888888889,0.0,0.0557093608378419,0.0,0.0042146444
4.0,0.111111111111111,0.0,0.0921478041210703,0.0,0.067439154
4.0,0.222222222222222,0.0,0.0379042235617461,0.0,2.044852e-05
4.0,0.333333333333333,0.0,0.104317361554297,0.0,0.073709466
4.0,0.666666666666667,0.0,0.0298740941465224,0.0,0.05723009
4.0,1.11111111111111,0.0,0.0263279000207044,0.0,0.14521155
4.0,1.66666666666667,0.0,0.0828448694680988,0.0,0.030016523
4.0,2.11111111111111,0.0,0.0307636663680466,0.0,0.036095202
4.33333333333333,0.0,0.0,0.334734078958167,0.0,0.20954883
4.33333333333333,0.111111111111111,0.0,0.0987220186067489,0.0,0.050711475
4.33333333333333,1.0,0.0,0.326921221293805,0.0,0.08956642
4.33333333333333,1.11111111111111,0.0,0.033789019452839,0.0,0.03536397
4.44444444444444,0.777777777777778,0.0,0.0444996613047115,0.0,0.014470212
4.44444444444444,2.66666666666667,0.0,0.0309458457898012,0.0,0.01056049
4.55555555555556,0.222222222222222,0.0,0.0211376451680819,0.0,0.008820945
4.66666666666667,0.0,0.0,0.0638118634493553,0.0,0.027486777
4.66666666666667,1.0,0.0,0.228107347121454,0.0,0.09543764
4.77777777777778,0.777777777777778,0.0,0.0215065736624283,0.0,0.0032941755
4.77777777777778,2.88888888888889,0.0,0.0456823730942331,0.0,0.0018546587
4.88888888888889,2.88888888888889,0.0,0.10892456561688,0.0,0.002276027
5.0,0.777777777777778,0.0,0.037683499271712,0.0,0.00045843524
5.0,1.11111111111111,0.0,0.0591458356626526,0.0,0.039589796
5.0,2.88888888888889,0.0,0.113943352306837,0.0,0.010429326
